date,open,high,low,close,volume
2020-03-16,2897.301,2898.035,2784.662,2789.254,35187866500
2020-03-17,2796.284,2826.907,2715.221,2779.641,30614967700
2020-03-18,2792.322,2815.874,2728.756,2728.756,29115985200
2020-03-19,2719.406,2736.82,2646.805,2702.13,30230274700
2020-03-20,2727.019,2751.896,2702.493,2745.618,25201950700
2020-03-23,2677.591,2703.33,2656.501,2660.167,24982025000
2020-03-24,2703.019,2723.407,2667.133,2722.438,25702193000
2020-03-25,2775.303,2788.635,2757.802,2781.591,27314446600
2020-03-26,2761.896,2788.504,2753.428,2764.911,23408402200
2020-03-27,2792.984,2805.548,2771.756,2772.203,24076406600
2020-03-30,2739.719,2759.099,2723.054,2747.214,23970660400
2020-03-31,2767.307,2771.168,2743.115,2750.296,21859867400
2020-04-01,2743.541,2773.364,2731.079,2734.522,21725342700
2020-04-02,2720.228,2780.638,2719.904,2780.638,21786460000
2020-04-03,2773.576,2780.587,2754.073,2763.987,20083740400
2020-04-07,2806.968,2823.277,2801.839,2820.763,27019818600
2020-04-08,2805.917,2823.214,2800.296,2815.369,24351530500
2020-04-09,2825.839,2832.395,2820.433,2825.904,23818484300
2020-04-10,2827.187,2833.015,2789.976,2796.631,23345476800
2020-04-13,2784.598,2792.891,2774.081,2783.048,17712455400
2020-04-14,2794.801,2827.298,2789.428,2827.283,20269656900
2020-04-15,2826.662,2829.75,2808.704,2811.174,20562114600
2020-04-16,2798.43,2823.338,2796.839,2819.935,20300377300
2020-04-17,2835.558,2854.96,2830.022,2838.495,24573675000
2020-04-20,2840.409,2852.99,2833.262,2852.553,21184707800
2020-04-21,2842.237,2842.237,2808.021,2827.013,23323587000
2020-04-22,2814.066,2843.98,2808.482,2843.98,21732000000
2020-04-23,2850.51,2853.636,2835.896,2838.499,24877903700
2020-04-24,2834.939,2834.939,2802.499,2808.529,23518507600
2020-04-27,2812.242,2832.666,2802.958,2815.495,21013098100
2020-04-28,2819.991,2821.745,2758.246,2810.024,25387274500
2020-04-29,2801.383,2831.764,2800.738,2822.442,20206180700
2020-04-30,2832.384,2865.59,2832.384,2860.082,24245527800
2020-05-06,2831.633,2879.263,2830.654,2878.14,24982661600
